product,title,rating,body
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",It's the best in this price range.,5.0,It's the best. I visited so many shops but never found such a comfortable chair for this price range. I set up all by myself in 15 minutes because of the clear instructions provided and of course all included tools.
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown","Sturdy, Comfortable, Light Weight",5.0,"Ordered this for work from home after going through the numerous good reviews and boy! This chair is every bit worthy of all the good reviews. Reviewing it after using for a month.MaterialLeatherette cover over soft cushionSturdy plastic base and wheels (I wanted a steel one for more strength, but this is quite good to be honest)Wheels are very good quality and roll effortlesslyPadded arm rest for comfortDesignVery comfortable and spacious seating size wise (my husband with a bulky frame fits in comfortably on the chair) Arm rest is fixed and height cant be adjusted but it's fixed at a great comfortable heightCan carry heavy weight more than what is mentioned in the description, tested upto 114 kgs and the chair doesn't creak.It's a mid back chair, for me the back rest reaches a little below the shoulders when sitting upright. I am 5'9"" tall. The back is upright but not to an extent where it gets uncomfortable while splitting straight and working.Amazingly light weight. Have another chair from the brand featherlite purchased from a dealer in the same price range. This one hands down beats the featherlite chair.Super easy to assemble on your own, comes with instructions to assemble.All adjustments levers available for adjusting tilt and heightGo for it without any 2nd thought. Best product at this price range"
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",Absolute nonsense for this ridiculously high price chair,1.0,"1. There is no replacement or return possible if you are not satisfied with the product delivered2. Height of back support is smaller than what is is expected from the picture. Barely reaches your shoulder.3. Adjustable height is very small, than what you expect from such a high priced chair4. back support suspension is also very low.Bottom line: instead of risking your money on this non returnable nonsense, go to local market and buy after proper testing. I have seen far better product for far cheaper price than this. I regret very deeply for buying this product. I advice you not to repeat the mistake I did and regret."
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",Great Value for Money,5.0,"I use this chair for at-least 8-9 hours a day & Its Great Value for Money, but its not extremely comfortable for you money what you pay it is undervalued i most say.Overall for this price it is a great product & i am very much satisfied with it.I had done lot of research before buying this chair & now i'm totally satisfied with it. Just go for it.....Thank you amazon for such a great product."
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown","Uncomfortable, thin cushion",1.0,Writting this review after 3 days of use.This chair lack the most import part which is comfort. A very thin layer of cushion that doesn't provide enough support. One can feel the metal base when sitting for just couple of hours. Not recommended at all.
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",Best quality. frabric used is soft artificial leather,5.0,Best quality. frabric used is soft artificial leather . feel is good. Now using since 1 year.They called for assembling. But I easily assembled with the help of guide provided.Best product . just go for it
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",Faux leather chairs are the worst for daily WFH use,2.0,"I came back to write a review 1 year after the purchase and realised the price has gone up by at least 2k. If you’re looking to buy an office chair for your WFH setup, please don’t go for this. A basic mesh type chair would suffice. It might look more comfortable and even feel so for the first few days but after that you will start feeling the cushions start giving up and start flattening. I’m getting very bad lower back pain because it literally squeezes down to the metallic base of it. Moreover, the leather material is very bad in breathability and unless you have an AC in your room, don’t go for it. I remember having this last summer and every time I get up I used to leave sweat stains on the handle and seat and it damaged the faux leather. Giving it a 2 star rating since the time I bought it, it was okay for the price but now it’s nowhere near worth it."
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",Good chair and it Reclines..,4.0,Very broad seat hence hand rest is little uncomfortable to use while working on computer. This chair reclines. Some people have complained that it doesn't tilt backwards but that is assembling problem. Just see if the round twist knob beneath the chair seat is in front-side or not. Need to put that at front side as shown in the product pictures here.
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",Not very satisfied,3.0,"I'm not satisfied with the chair, but don't want to return it since it's not the right time to place return orders. Hence I would be keeping it.A few things I didn't like about the chair are:The back isn't completely straight and it pushes behind a bit when you place your back against it, not quite sturdy.Overall, the chair looks smallThe material of the chair doesn't look quite sturdy."
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",Perfect chair for guests in the office,5.0,"I got this as a guest chair for a small office room and everyone always talks about how comfortable it is and how posh it looks. Being a Amazon brand, the pricing is just right and the quality is simply awesome. The rexin is not breaking up at this point, hopefully will last a long long time.It took about 30 minutes to assemble the chair myself, I did not use the amazon offer for free assembling. Its very simple and you dont need any additional tools, everything you need is already provided in the box."
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",Waste of money for this product. Purchased during lockdown because of lack of options,1.0,"This is not a good product neither value for money.By adding few amount, you can get a very good option in Nilkamal. But, I have bought it during Lockdown so didn't get much options as well as not applicable for return too.Quality is not good. It will not last more. Also, damaged from one place.I am feeling guilty after buying this product but I don't have much option during lockdown situation and another product was not deliverable.Last but not least, It is made is China product. So, it will not be durable. Although, it has not mentioned here that made in China."
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",Good product within a good offer price!,5.0,"The product looks exactly what is displayed. Have to assemble on your own as the product comes in knock down condition. Quite easy if you follow their given instruction manual inside the box. Product looks good and durable. Comfort wise very good, if you do not miss the high back chair you were using before. I am 6.1"" and bit heavy - but it fits me right. So enough seat space and height of back rest is good though it's mid back. Overall good purchase. Hopefully it will work durable, that I am giving it a time of minimum 2 years after good use and then only I will take it worthy in the sense of durability. Can go for it without doubt!"
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",Good Looking and comfortable seating pros and cons list,5.0,"This is one of the good purchases of mine. I got similar one from my Amazon de account for Belgium location and that was really expensive than this chair. Also, this chair is good for Students and Desktop setup learners.Pros:1. Well it's really simple and comfortable2. Elegant look.3. Easy to assemble ( I got mine assembled myself, as the VECARE guys didn't show up at my home).4. The chair is little bit Cozy and not really cozy.5. Would recommend this chair to everyone who are in budget like me. (yeah, I do have budget plans when I purchase any item for me).Cons:1. One thing I don't like about this Chair is the wheels are super fast with a slight push. I didn't like it personally.2. The package was little damaged outside but it didn't break the inner chair parts.3. The chair doesn't have a head rest. I know, I wantedly purchased this knowing there is no head rest. But still it might be helpful for someone who wants it. I don't want it though ;)"
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",My 3 month long search stopped at this chair,5.0,"I have developed pain in lower back and cervical both in last 1 year. After work from home , I was trying to find a home chairnwhich is as comfortable as I had one in my office. I spent 3 months on internet buy couldnot find anything anywhere. Atlast I settled down for this chair looking at the good reviews. I have found thiss chair very satisfactory.POSITIVE:(1)It is the chair for me. Could not find anything close to it.(2)It provides superb support to lower back. I could feel the difference as earlier I was sitting on straight back dining chair.(3) it's very quick to assemble. Excellent quality. Fabric is smooth ( honestly I never cared for fabric as I am 6 ft tall and was very suspicious to get the perferct chair for my back problem )NEGATIVE(1) As the name suggests it only supports mid back. In order to relieve your neck you need to raise the height of your laptop screen/workstation screen by placing them on support/box etc."
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",It's a chair.,5.0,"It's good to sit on. Comfortable. I sit at my desk a lot and this new chair is very comfortable, but only if you set the height and tilt properly. Make sure it fits with your computer desk if you have one.You should definitely not take the free assembly service. That guy will beg you for a tip incessantly. You might as well make it yourself if you have the time and the ability.I wish it was a little less expensive. But you get what you pay for. I'm not sure I'd trust any other company to sell me a computer chair on Amazon other than Amazon it self."
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",This chair was too good and beyond my expectation and that too at a ...,5.0,"This chair was too good and beyond my expectation and that too at a very reasonable price. I must thank Amazon for this.  Nicely packed and delivered within 24 hours. It was easy installing the product and I did it myself going through the manual.  I am pretty sure that at this price this chair is nowhere available online.  Without any second thought, guys go for this product and you will surely won't regret it."
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",Made in China !!!,3.0,1. Delivery was timely and in good packing and condition. No defects.2. This is a China product which I missed to note before ordering. Otherwise I would not not ordered it.3. Average office chair. Looks good. Comfortable to sit and rest hands.3. Back rest is not flexible. You can't adjust it's angle.4. Traps a lot of body heat. Back and seat feels very warm after sitting for a few minutes. I would recommend to buy a chair with mesh back.5. I assembled it myself. Took about 30 mins. Assembly service is also available at no extra cost.
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",Pneumatic seat goes down while sitting. Quality Issue !!!,1.0,It is disappointing due to this problem of seat going down while you are busy working. There is some leakage of the pneumatic cylinder and due to which the chair seat goes slowly down (within 10 sec). I get up and raise the seat again to working level by operating the lever. This is annoying and I have stopped using the chair. I won't recommend such a chair to anyone.
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",Sitting on the chair is a pain in the ...,2.0,"The chair looks good and nice. Sturdy design too. However, if one sits on the chair for a long time, then you feel the pain. The cushion is not good at all. I have use a small pillow on the cushion so that atleast the pain becomes less. I bought the chair reading at the reviews and something has changed suddenly in the way the chair is manufactured. I wont recommend this chair if you have to sit for long hours."
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",Amazing amazon,1.0,"Amazon installation team local guys are extremely professional, they will make you laugh with their expertise, I was so over whelmed that I decided to return the chair and buy again probably so they can make me spend my day again talking to them on phones and writing emails. 100% recommended, buy and choose installation day when u are bored."
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",Bad buy,1.0,The seat of the chair isn't comfortable enough; you can feel the base through the cushion. The fabric used is sub-standard. It started to wear off within 2 months of use and is now torn at several places.
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",A little overpriced for the features it has. Good for short sittings.,3.0,"Writing this keeping the price in mind- Have been using this chair since 4-5 days now. It makes some noise while bending or moving (not able to figure out where is it coming from). Also, if you want to bend back, you need to apply lots of pressure from your feet to do so. Good for short span of sitting but would not recommend for long runs."
